[trainer] 从零训练：未加载预训练权重
[trainer] 数据源标识: train=local/track4_sim/train val=local/track4_sim/val
[trainer] tag=g4L_fold3 fold=3 train=499 val=125 steps/epoch=249 特殊影像正样本=[6, 6] 重复对=True
[g4L_fold3] ep3 step61/249 loss=0.8427 {'ds': 0.274, 'seg': 0.332, 'cls': 0.394, 'special': 1.647, 'embed': 0.0}
[g4L_fold3] ep3 step81/249 loss=1.0304 {'ds': 0.3, 'seg': 0.359, 'cls': 0.409, 'special': 0.782, 'embed': 4.985}
[g4L_fold3] ep3 step101/249 loss=0.8831 {'ds': 0.17, 'seg': 0.192, 'cls': 0.331, 'special': 0.958, 'embed': 4.921}
[g4L_fold3] ep3 step121/249 loss=1.2205 {'ds': 0.177, 'seg': 0.223, 'cls': 0.496, 'special': 0.94, 'embed': 8.511}
[g4L_fold3] ep3 step141/249 loss=1.6462 {'ds': 0.698, 'seg': 1.015, 'cls': 0.34, 'special': 0.708, 'embed': 4.93}
[g4L_fold3] ep3 step161/249 loss=1.2217 {'ds': 0.241, 'seg': 0.321, 'cls': 0.304, 'special': 0.301, 'embed': 9.995}
[g4L_fold3] ep3 step181/249 loss=0.9597 {'ds': 0.189, 'seg': 0.19, 'cls': 0.428, 'special': 0.231, 'embed': 8.068}
[g4L_fold3] ep3 step201/249 loss=1.6595 {'ds': 0.745, 'seg': 1.025, 'cls': 0.854, 'special': 0.197, 'embed': 4.954}
[g4L_fold3] ep3 step221/249 loss=1.1581 {'ds': 0.592, 'seg': 0.629, 'cls': 0.288, 'special': 0.325, 'embed': 5.01}
[g4L_fold3] ep3 step241/249 loss=1.2052 {'ds': 0.46, 'seg': 0.629, 'cls': 0.717, 'special': 0.263, 'embed': 4.425}
[g4L_fold3] epoch 3 loss=0.7315 dice_core=0.7741 dice_peri=0.8478 thr=[0.7, 0.55] (327s)
[g4L_fold3] ep4 step21/249 loss=0.8513 {'ds': 0.301, 'seg': 0.37, 'cls': 0.43, 'special': 0.236, 'embed': 4.198}
[g4L_fold3] ep4 step41/249 loss=0.8223 {'ds': 0.279, 'seg': 0.288, 'cls': 0.548, 'special': 0.104, 'embed': 4.95}
[g4L_fold3] ep4 step61/249 loss=1.1910 {'ds': 0.261, 'seg': 0.342, 'cls': 0.435, 'special': 0.048, 'embed': 9.703}
[g4L_fold3] ep4 step81/249 loss=0.9200 {'ds': 0.293, 'seg': 0.432, 'cls': 0.391, 'special': 0.066, 'embed': 4.983}
[g4L_fold3] ep4 step101/249 loss=1.0920 {'ds': 0.219, 'seg': 0.227, 'cls': 0.424, 'special': 0.056, 'embed': 9.931}
