[trainer] 从零训练：未加载预训练权重
[trainer] tag=g4_fold1 fold=1 train=499 val=125 steps/epoch=249 特殊影像正样本=[6, 6] 重复对=True
[g4_fold1] ep3 step81/249 loss=1.2129 {'ds': 0.282, 'seg': 0.369, 'cls': 0.343, 'special': 0.052, 'embed': 9.933}
[g4_fold1] ep3 step101/249 loss=0.7395 {'ds': 0.191, 'seg': 0.239, 'cls': 0.366, 'special': 0.134, 'embed': 5.0}
[g4_fold1] ep3 step121/249 loss=1.0207 {'ds': 0.301, 'seg': 0.369, 'cls': 1.074, 'special': 0.033, 'embed': 4.997}
[g4_fold1] ep3 step141/249 loss=0.9370 {'ds': 0.204, 'seg': 0.332, 'cls': 0.422, 'special': 1.739, 'embed': 0.865}
[g4_fold1] ep3 step161/249 loss=2.1811 {'ds': 1.07, 'seg': 1.573, 'cls': 0.868, 'special': 0.055, 'embed': 5.037}
[g4_fold1] ep3 step181/249 loss=0.6642 {'ds': 0.323, 'seg': 0.461, 'cls': 0.496, 'special': 0.315, 'embed': 0.005}
[g4_fold1] ep3 step201/249 loss=0.3641 {'ds': 0.206, 'seg': 0.245, 'cls': 0.267, 'special': 0.005, 'embed': 0.684}
[g4_fold1] ep3 step221/249 loss=1.4324 {'ds': 0.693, 'seg': 0.971, 'cls': 0.312, 'special': 0.035, 'embed': 4.996}
[g4_fold1] ep3 step241/249 loss=0.7103 {'ds': 0.177, 'seg': 0.245, 'cls': 0.359, 'special': 0.003, 'embed': 4.991}
[g4_fold1] epoch 3 loss=0.6573 dice_core=0.7687 dice_peri=0.8642 thr=[0.5, 0.55] (189s)
[g4_fold1] ep4 step21/249 loss=1.1418 {'ds': 0.173, 'seg': 0.244, 'cls': 0.312, 'special': 0.282, 'embed': 9.994}
[g4_fold1] ep4 step41/249 loss=1.0524 {'ds': 0.155, 'seg': 0.221, 'cls': 0.364, 'special': 0.03, 'embed': 9.778}
[g4_fold1] ep4 step61/249 loss=1.3487 {'ds': 0.331, 'seg': 0.423, 'cls': 0.489, 'special': 1.76, 'embed': 4.845}
[g4_fold1] ep4 step81/249 loss=0.9056 {'ds': 0.316, 'seg': 0.411, 'cls': 0.354, 'special': 0.138, 'embed': 4.956}
[g4_fold1] ep4 step101/249 loss=1.8530 {'ds': 0.956, 'seg': 1.338, 'cls': 0.472, 'special': 0.022, 'embed': 5.218}
[g4_fold1] ep4 step121/249 loss=0.5826 {'ds': 0.359, 'seg': 0.448, 'cls': 0.46, 'special': 0.074, 'embed': 0.009}
[g4_fold1] ep4 step141/249 loss=0.7423 {'ds': 0.193, 'seg': 0.243, 'cls': 0.503, 'special': 0.015, 'embed': 4.929}
[g4_fold1] ep4 step161/249 loss=0.6331 {'ds': 0.151, 'seg': 0.185, 'cls': 0.292, 'special': 0.002, 'embed': 4.997}
[g4_fold1] ep4 step181/249 loss=0.8864 {'ds': 0.551, 'seg': 0.773, 'cls': 0.427, 'special': 0.024, 'embed': 0.004}
[g4_fold1] ep4 step201/249 loss=1.1493 {'ds': 0.709, 'seg': 0.963, 'cls': 0.467, 'special': 0.061, 'embed': 0.729}
[g4_fold1] ep4 step221/249 loss=0.2523 {'ds': 0.138, 'seg': 0.17, 'cls': 0.294, 'special': 0.036, 'embed': 0.004}
[g4_fold1] ep4 step241/249 loss=0.7424 {'ds': 0.28, 'seg': 0.364, 'cls': 0.403, 'special': 0.073, 'embed': 3.453}
[g4_fold1] epoch 4 loss=0.6356 dice_core=0.8032 dice_peri=0.8811 thr=[0.5, 0.6] (204s)
[g4_fold1] ep5 step21/249 loss=1.2576 {'ds': 0.552, 'seg': 0.735, 'cls': 0.593, 'special': 0.01, 'embed': 4.959}
[g4_fold1] ep5 step41/249 loss=1.1016 {'ds': 0.369, 'seg': 0.523, 'cls': 0.427, 'special': 0.01, 'embed': 6.26}
[g4_fold1] ep5 step61/249 loss=0.7989 {'ds': 0.22, 'seg': 0.272, 'cls': 0.616, 'special': 0.011, 'embed': 4.936}
[g4_fold1] ep5 step81/249 loss=1.0404 {'ds': 0.602, 'seg': 0.848, 'cls': 0.766, 'special': 0.003, 'embed': 0.003}
[g4_fold1] ep5 step101/249 loss=0.6764 {'ds': 0.372, 'seg': 0.513, 'cls': 0.593, 'special': 0.06, 'embed': 0.003}
[g4_fold1] ep5 step121/249 loss=1.0193 {'ds': 0.364, 'seg': 0.52, 'cls': 0.539, 'special': 0.026, 'embed': 4.77}
[g4_fold1] ep5 step141/249 loss=1.0109 {'ds': 0.118, 'seg': 0.151, 'cls': 0.392, 'special': 0.053, 'embed': 9.981}
[g4_fold1] ep5 step161/249 loss=0.9473 {'ds': 0.461, 'seg': 0.561, 'cls': 0.421, 'special': 0.034, 'embed': 3.636}
[g4_fold1] ep5 step181/249 loss=1.8458 {'ds': 1.012, 'seg': 1.418, 'cls': 0.35, 'special': 0.008, 'embed': 4.508}
[g4_fold1] ep5 step201/249 loss=1.3141 {'ds': 0.849, 'seg': 1.184, 'cls': 0.473, 'special': 0.041, 'embed': 0.021}
[g4_fold1] ep5 step221/249 loss=0.7315 {'ds': 0.148, 'seg': 0.201, 'cls': 0.339, 'special': 0.016, 'embed': 5.886}
[g4_fold1] ep5 step241/249 loss=0.6203 {'ds': 0.343, 'seg': 0.467, 'cls': 0.582, 'special': 0.003, 'embed': 0.089}
[g4_fold1] epoch 5 loss=0.6201 dice_core=0.8158 dice_peri=0.8938 thr=[0.6, 0.6] (193s)
[g4_fold1] ep6 step21/249 loss=0.3721 {'ds': 0.197, 'seg': 0.261, 'cls': 0.412, 'special': 0.031, 'embed': 0.001}
[g4_fold1] ep6 step41/249 loss=0.7278 {'ds': 0.18, 'seg': 0.246, 'cls': 0.425, 'special': 0.017, 'embed': 4.948}
[g4_fold1] ep6 step61/249 loss=0.2438 {'ds': 0.091, 'seg': 0.12, 'cls': 0.313, 'special': 0.169, 'embed': 0.051}
[g4_fold1] ep6 step81/249 loss=1.0433 {'ds': 0.111, 'seg': 0.155, 'cls': 0.538, 'special': 0.034, 'embed': 9.939}
[g4_fold1] ep6 step101/249 loss=1.0814 {'ds': 0.662, 'seg': 0.943, 'cls': 0.529, 'special': 0.006, 'embed': 0.069}
[g4_fold1] ep6 step121/249 loss=0.5763 {'ds': 0.145, 'seg': 0.202, 'cls': 0.306, 'special': 0.019, 'embed': 3.912}
[g4_fold1] ep6 step141/249 loss=1.0947 {'ds': 0.406, 'seg': 0.566, 'cls': 0.433, 'special': 0.004, 'embed': 5.597}
[g4_fold1] ep6 step161/249 loss=0.7645 {'ds': 0.1, 'seg': 0.135, 'cls': 0.405, 'special': 0.009, 'embed': 7.007}
[g4_fold1] ep6 step181/249 loss=1.0924 {'ds': 0.38, 'seg': 0.525, 'cls': 0.78, 'special': 0.006, 'embed': 4.944}
[g4_fold1] ep6 step201/249 loss=0.5575 {'ds': 0.279, 'seg': 0.392, 'cls': 0.656, 'special': 0.004, 'embed': 0.013}
[g4_fold1] ep6 step221/249 loss=0.6127 {'ds': 0.12, 'seg': 0.15, 'cls': 0.351, 'special': 0.001, 'embed': 4.994}
[g4_fold1] ep6 step241/249 loss=0.3508 {'ds': 0.177, 'seg': 0.247, 'cls': 0.403, 'special': 0.012, 'embed': 0.006}
[g4_fold1] epoch 6 loss=0.5479 dice_core=0.8244 dice_peri=0.9033 thr=[0.65, 0.6] (200s)
[g4_fold1] ep7 step21/249 loss=1.2277 {'ds': 0.277, 'seg': 0.363, 'cls': 0.422, 'special': 0.038, 'embed': 9.998}
[g4_fold1] ep7 step41/249 loss=1.0015 {'ds': 0.14, 'seg': 0.171, 'cls': 0.413, 'special': 0.026, 'embed': 9.61}
[g4_fold1] ep7 step61/249 loss=1.5513 {'ds': 0.455, 'seg': 0.609, 'cls': 0.807, 'special': 0.014, 'embed': 9.829}
[g4_fold1] ep7 step81/249 loss=1.0418 {'ds': 0.135, 'seg': 0.172, 'cls': 0.598, 'special': 0.013, 'embed': 9.556}
[g4_fold1] ep7 step101/249 loss=1.2341 {'ds': 0.239, 'seg': 0.326, 'cls': 0.524, 'special': 1.614, 'embed': 4.977}
