[trainer] 断点续训：epoch 78/100
[trainer] 数据源标识: train=local/track4_sim/train val=local/track4_sim/val
[trainer] tag=g4_fold1 fold=1 train=499 val=125 steps/epoch=249 特殊影像正样本=[6, 6] 重复对=True
[g4_fold1] ep81 step61/249 loss=0.1621 {'ds': 0.071, 'seg': 0.099, 'cls': 0.245, 'special': 0.0, 'embed': 0.027}
[g4_fold1] ep81 step81/249 loss=0.2524 {'ds': 0.141, 'seg': 0.186, 'cls': 0.263, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep81 step101/249 loss=0.2234 {'ds': 0.115, 'seg': 0.147, 'cls': 0.305, 'special': 0.0, 'embed': 0.005}
[g4_fold1] ep81 step121/249 loss=0.4288 {'ds': 0.205, 'seg': 0.28, 'cls': 0.595, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep81 step141/249 loss=0.2552 {'ds': 0.108, 'seg': 0.145, 'cls': 0.438, 'special': 0.0, 'embed': 0.006}
[g4_fold1] ep81 step161/249 loss=1.0490 {'ds': 0.522, 'seg': 0.977, 'cls': 0.286, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep81 step181/249 loss=0.3952 {'ds': 0.201, 'seg': 0.295, 'cls': 0.4, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep81 step201/249 loss=0.1531 {'ds': 0.074, 'seg': 0.1, 'cls': 0.211, 'special': 0.0, 'embed': 0.009}
[g4_fold1] ep81 step221/249 loss=0.3909 {'ds': 0.256, 'seg': 0.339, 'cls': 0.207, 'special': 0.0, 'embed': 0.002}
[g4_fold1] ep81 step241/249 loss=0.2216 {'ds': 0.128, 'seg': 0.167, 'cls': 0.217, 'special': 0.0, 'embed': 0.002}
[g4_fold1] epoch 81 loss=0.2512 dice_core=0.9141 dice_peri=0.9548 thr=[0.35, 0.5] (762s)
[g4_fold1] ep82 step21/249 loss=0.2211 {'ds': 0.119, 'seg': 0.155, 'cls': 0.266, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep82 step41/249 loss=0.1689 {'ds': 0.069, 'seg': 0.084, 'cls': 0.337, 'special': 0.0, 'embed': 0.006}
[g4_fold1] ep82 step61/249 loss=0.2222 {'ds': 0.103, 'seg': 0.135, 'cls': 0.35, 'special': 0.0, 'embed': 0.001}
